arm,pair,b_id,slug,file_hit,sym_hit,file_frac,sym_frac,jaccard,n_gold_files,n_gold_syms
null,-,django__django-12308,django,True,False,1.0,0.0,0.010660980810234541,1,1
null,-,django__django-12325,django,True,False,0.5,0.0,0.017057569296375266,2,1
null,-,django__django-12406,django,True,False,0.5,0.0,0.012738853503184714,2,2
null,-,django__django-12419,django,False,False,0.0,0.0,0.0021598272138228943,1,1
null,-,django__django-12663,django,False,False,0.0,,0.010822510822510822,1,0
null,-,django__django-12708,django,True,False,1.0,0.0,0.010775862068965518,1,1
null,-,django__django-12713,django,False,False,0.0,0.0,0.01263157894736842,1,1
null,-,django__django-12741,django,False,False,0.0,0.0,0.017130620985010708,2,3
null,-,django__django-12754,django,False,False,0.0,0.0,0.029288702928870293,1,1
null,-,django__django-12774,django,False,False,0.0,0.0,0.017130620985010708,1,1
null,-,django__django-12858,django,True,False,1.0,0.0,0.004310344827586207,1,1
null,-,django__django-12965,django,False,False,0.0,0.0,0.00646551724137931,1,1
null,-,django__django-13012,django,False,False,0.0,0.0,0.010822510822510822,1,3
null,-,django__django-13023,django,True,False,1.0,0.0,0.0021551724137931034,1,1
null,-,django__django-13028,django,False,False,0.0,0.0,0.008620689655172414,1,1
null,-,django__django-13033,django,False,False,0.0,0.0,0.008583690987124463,1,1
null,-,django__django-13089,django,False,False,0.0,0.0,0.002136752136752137,1,1
null,-,django__django-13109,django,False,False,0.0,0.0,0.008639308855291577,1,1
null,-,django__django-13112,django,False,True,0.0,1.0,0.015151515151515152,1,1
null,-,django__django-13121,django,False,False,0.0,0.0,0.041015625,4,13
null,-,django__django-13128,django,False,False,0.0,0.0,0.014285714285714285,1,3
null,-,django__django-13158,django,False,False,0.0,0.0,0.004291845493562232,1,2
null,-,django__django-13195,django,False,False,0.0,0.0,0.018329938900203666,3,4
null,-,django__django-13212,django,True,False,0.5,0.0,0.01037344398340249,2,5
null,-,django__django-13279,django,True,False,1.0,0.0,0.008385744234800839,1,4
null,-,django__django-13297,django,True,False,1.0,0.0,0.012875536480686695,1,2
null,-,django__django-13315,django,True,False,1.0,0.0,0.014799154334038054,1,1
null,-,django__django-13344,django,False,False,0.0,0.0,0.010570824524312896,3,5
null,-,django__django-13346,django,False,False,0.0,0.0,0.02032520325203252,1,5
null,-,django__django-13363,django,False,False,0.0,0.0,0.004282655246252677,1,2
null,-,django__django-13401,django,True,False,1.0,0.0,0.03397027600849257,1,1
null,-,django__django-13406,django,False,False,0.0,0.0,0.004319654427645789,1,1
null,-,django__django-13410,django,False,False,0.0,0.0,0.008547008547008548,1,1
null,-,django__django-13417,django,False,False,0.0,0.0,0.010660980810234541,1,1
null,-,django__django-13449,django,False,False,0.0,0.0,0.016666666666666666,1,4
null,-,django__django-13512,django,True,False,1.0,0.0,0.012875536480686695,2,2
null,-,django__django-13513,django,False,False,0.0,0.0,0.02044989775051125,1,5
null,-,django__django-13516,django,True,False,1.0,0.0,0.0021551724137931034,1,2
null,-,django__django-13551,django,False,False,0.0,0.0,0.018789144050104383,1,2
null,-,django__django-13568,django,False,False,0.0,0.0,0.012875536480686695,1,1
null,-,django__django-13569,django,False,False,0.0,0.0,0.008658008658008658,1,3
null,-,django__django-13590,django,False,False,0.0,0.0,0.0064516129032258064,1,1
